2407508077;2775977;2016-06-02;3;1141;3;true
2407633602;2775977;2016-06-02;3;1093;3;true
2412001984;2775977;2016-06-04;3;1155;3;false
2411837491;2775977;2016-06-04;3;591;4;false
2414698099;2775977;2016-06-05;3;745;3;false
2414851785;2775977;2016-06-05;3;828;3;false
2426223355;2775977;2016-06-10;3;1159;3;true
2426101283;2775977;2016-06-10;3;1157;3;true
2437894128;2414095;2016-06-15;1;889;3;false
2437804571;2414095;2016-06-15;1;554;3;false
2439819883;2414095;2016-06-16;1;696;3;false
2439888064;2414095;2016-06-16;1;649;4;false
2441614694;2414095;2016-06-17;1;1154;3;true
2444766467;2414095;2016-06-18;1;822;3;false
2444930374;2414095;2016-06-18;1;1284;3;false
2443848318;2414095;2016-06-18;1;1454;3;false
2443790054;2414095;2016-06-18;1;793;3;false
2485119809;2414095;2016-07-06;1;718;3;false
2485038548;2414095;2016-07-06;1;954;3;false
2485282131;2414095;2016-07-06;1;910;3;false
