2522319724;1000;1150;50;1000;1213
2522730902;950;1300;50;961;985
2523000065;1000;1250;50;1012;934
2522889565;1050;1200;50;1057;889
2522019610;1000;750;50;986;924
2525905872;1050;800;50;1032;987
2547545013;1100;1350;50;1079;1273
2547598732;1050;1400;50;1034;1318
2547470370;1100;1450;50;1097;1200
2549289998;1150;1200;50;1151;1241
2549342148;1100;1250;50;1105;1287
2549583869;1150;1350;50;1163;1067
2549498173;1200;2050;50;1208;1581
2549431849;1150;2100;50;1174;1615
2549664835;1100;1400;50;1143;1139
2547401914;1050;1500;50;1093;1255
2551458951;1000;1450;50;1051;1031
2551385390;950;1500;50;1001;1081
2551529539;1000;2200;50;1054;1628
2551582637;950;2250;50;1032;1650
2558033556;1000;1350;50;1143;1514
2557955371;950;1400;50;1110;1547
2558113366;1000;1350;50;1179;1478
2562482317;1050;2200;50;1254;1481
2562521800;1000;2250;50;1214;1521
2566482748;950;1800;50;1177;1364
2566594115;900;1800;50;1135;1360
