2734736889;3334621;2016-10-25;5;2039;2;true;3444306
2734764173;3334621;2016-10-25;5;1247;3;true;1079752
2736741387;3334621;2016-10-26;5;994;4;false;1245961
2736683572;3334621;2016-10-26;5;1259;2;true;2676492
2763668231;3334621;2016-11-07;3;869;Core;false;2672298
2763724205;3334621;2016-11-07;3;1383;null;true;2672298
2771646336;3;2016-11-11;1;1178;Core;false;4
2771517619;3;2016-11-11;1;1177;Core;true;4
2771388878;3;2016-11-11;1;1061;Core;false;4
2771961229;3;2016-11-11;2;608;Core;false;111474
2805927586;3513553;2016-11-27;4;998;null;false;2701329
2805980029;3513553;2016-11-27;4;924;Core;false;2701329
