2459066888;1000;1000;50;1000;1000
2459216314;1050;1150;50;1050;1146
2461756732;1000;1000;50;1000;1000
2461668254;1050;950;50;1050;950
2468020222;1100;950;50;1094;1000
2467857302;1050;1000;50;1040;1054
2479384100;1000;750;50;991;1045
2479537399;1050;700;50;1043;993
2486578490;1100;1000;50;1090;1066
2486469932;1150;950;50;1138;1018
2499567054;1200;1050;50;1182;1198
2499708032;1250;1000;50;1232;1148
2499818639;1300;950;50;1278;1102
2502039240;1350;950;50;1320;990
2501626678;1300;1000;50;1254;1056
2501910512;1350;950;50;1294;1016
2501789898;1400;900;50;1330;980
