2412001984;2685608;2016-06-04;3;1433;2;true
2411837491;2685608;2016-06-04;3;1816;2;true
2416806533;2685608;2016-06-06;3;1150;2;true
2416976852;2685608;2016-06-06;3;1403;4;false
2423678615;2685608;2016-06-09;3;1466;2;true
2440075535;2685608;2016-06-16;3;1614;2;true
2440190742;2685608;2016-06-16;3;1364;2;true
2478854400;2685608;2016-07-03;2;1474;2;true
2481086683;2685608;2016-07-04;2;459;2;false
2492745047;2685608;2016-07-09;3;1299;2;false
2492649216;2685608;2016-07-09;3;1526;2;true
2494843224;2685608;2016-07-10;3;1226;2;false
