2847629338;2016-12-15;25;2414475;3688387;5115;World Cyber Arena 2016 Grand ...;true##2414475;We.are.young;23;11;54||3688387;PRODOTA GAMING;11;23;17##101908305;Terrorblade;11;1;9;923;21400;8800;747;616||222189151;Dazzle;2;2;12;8600;3900;256;277;245||136187546;Crystal Maiden;1;3;12;1600;4300;123;277;286||141065684;Slardar;1;3;13;0;4800;145;338;380||262367336;Shadow Fiend;8;2;8;133;13200;903;617;604||88719902;Pudge;2;8;2;0;4400;66;204;192||86698277;Legion Commander;5;4;2;801;10100;859;436;451||109512357;Warlock;1;2;5;3000;5800;584;219;240||115141430;Ember Spirit;1;1;5;126;9100;356;425;471||20321748;Clockwerk;2;8;3;0;11500;0;248;285
2847945133;2016-12-15;20;3331948;5;4920;Dota 2 Professional League 2016;true##3331948;LGD.Forever Young;20;8;50||5;Invictus Gaming;7;20;19##136186119;Rubick;7;1;8;615;5800;530;402;318||90882159;Dragon Knight;4;4;5;83;4800;2800;446;349||98878010;Omniknight;2;0;10;7800;4400;936;490;518||148215639;Luna;3;0;13;0;13100;9000;627;477||98887913;Pudge;4;3;14;800;6600;297;354;287||140153524;Mirana;3;3;2;0;4500;0;275;258||205813150;Legion Commander;2;5;4;930;8100;406;337;307||129958758;Sand King;1;3;5;0;6900;107;292;295||207829314;Silencer;0;4;5;0;4800;0;187;179||103347469;Slark;1;5;3;0;3200;77;365;388
2847520490;2016-12-15;42;3331948;15;4920;Dota 2 Professional League 2016;true##3331948;LGD.Forever Young;40;31;106||15;LGD-GAMING;31;40;71##136186119;Witch Doctor;7;10;15;8100;10200;685;314;451||90882159;Timbersaw;7;10;18;3100;21000;580;486;540||98878010;Dark Seer;4;2;31;6300;15100;686;453;586||148215639;Morphling;12;5;18;0;29900;12500;629;644||98887913;Slardar;10;4;24;725;11500;663;408;539||131237305;Shadow Demon;0;12;15;0;8400;1800;214;191||221651179;Clockwerk;9;7;16;0;26100;14;331;350||106863163;Puck;9;5;13;259;34000;222;527;643||177416702;Terrorblade;9;5;7;0;30500;6600;644;607||107081378;Io;4;11;20;11600;8700;0;282;369
2847638494;2016-12-15;40;2277843;3584142;5065;AEF Season 1 Qualifiers;true##2277843;ICLEN;34;22;77||3584142;Why Should I?;20;35;50##176999191;Sand King;3;5;18;0;12100;431;352;412||86073338;Undying;3;4;23;2900;4700;240;367;350||86964173;Luna;17;3;12;0;27200;9100;805;684||42997039;Shadow Demon;4;4;14;390;7000;3000;345;363||86849243;Templar Assassin;7;6;10;0;19900;7000;720;685||136433960;Clockwerk;5;7;12;0;12700;203;276;368||54986290;Ogre Magi;3;13;9;0;6100;0;266;242||235589923;Tinker;8;2;10;0;31600;43;520;509||142555860;Juggernaut;2;5;6;0;11000;610;474;481||47123324;Warlock;2;8;13;2900;10100;30;243;273
2847434099;2016-12-15;34;15;3331948;4920;Dota 2 Professional League 2016;false##15;LGD-GAMING;24;30;59||3331948;LGD.Forever Young;29;24;84##131237305;Clockwerk;3;12;9;90;11400;127;225;223||221651179;Faceless Void;3;3;16;676;6900;627;330;410||106863163;Mirana;9;3;10;0;22300;701;547;563||177416702;Arc Warden;7;5;9;126;20500;1700;575;525||107081378;Rubick;2;7;15;0;8700;52;216;228||136186119;Crystal Maiden;6;7;18;1000;13000;1100;337;408||90882159;Dragon Knight;9;6;18;90;18600;3400;597;700||98878010;Dark Seer;3;4;18;3900;11700;479;515;515||148215639;Lifestealer;9;2;10;2400;19100;6500;570;612||98887913;Bounty Hunter;2;5;20;0;5800;603;325;336
2848042031;2016-12-15;29;2095771;3547888;4685;AES Summer League S1;false##2095771;feralpina;21;32;40||3547888;UGINF.SPIDERBLUE;31;21;61##106282905;Bloodseeker;5;5;7;1900;15200;0;374;446||178894519;Mirana;2;7;6;237;7000;29;299;298||184847685;Slark;7;6;8;0;11700;1600;454;495||140411011;Disruptor;0;7;14;0;8100;18;233;345||383666509;Batrider;7;7;5;0;10500;0;360;465||226340817;Earth Spirit;5;6;18;0;10000;231;391;541||331999484;Juggernaut;10;1;5;0;18500;8900;792;702||339566275;Outworld Devourer;10;5;6;0;24200;2900;485;552||155507163;Underlord;3;5;12;2300;11800;2100;444;455||143249469;Lich;3;4;20;0;9900;1800;303;329
2848046788;2016-12-15;54;2047484;3625702;4685;AES Summer League S1;true##2047484;HardCore;51;33;112||3625702;CHILI HUNTER;33;52;75##101906670;Bloodseeker;13;8;15;2400;36500;2200;613;506||189326890;Juggernaut;11;5;22;0;31800;12800;591;522||138713209;Ogre Magi;7;5;28;0;11900;223;317;521||107887080;Disruptor;4;9;27;3600;8700;422;304;350||114792827;Pudge;16;6;20;0;33900;823;412;507||117891932;Oracle;1;10;29;9700;10500;0;255;418||190537896;Tinker;13;5;12;90;74700;0;593;515||187118706;Anti-Mage;10;8;11;0;33000;8400;701;506||147044935;Riki;3;13;10;0;18000;70;259;333||102202369;Axe;6;16;13;0;26000;178;343;432
2847180111;2016-12-15;20;726228;2552670;5115;World Cyber Arena 2016 Grand ...;true##726228;Vici Gaming;26;12;57||2552670;Prodota GaminG;12;28;25##139937922;Puck;3;3;15;0;10600;649;378;439||108484186;Templar Assassin;8;1;13;148;13700;633;533;574||101695162;Windranger;0;2;14;1000;6900;37;297;406||114239371;Vengeful Spirit;0;5;9;0;3400;125;204;249||139280377;Drow Ranger;15;1;6;0;14200;3200;596;580||88719902;Skywrath Mage;3;8;5;0;4800;129;214;205||86698277;Alchemist;2;3;4;270;7400;603;543;462||109512357;Warlock;2;5;6;2700;5600;126;221;216||115141430;Lifestealer;2;4;6;726;4700;319;343;292||20321748;Clockwerk;3;8;4;0;6600;0;236;237
2849058593;2016-12-15;26;3580606;2672298;4665;ProDotA Cup Series by Azubu.tv;false##3580606;SG e-sports;14;34;27||2672298;Infamous -_^;34;15;76##37658157;Vengeful Spirit;0;11;7;0;2100;58;166;168||84853828;Io;2;6;8;8200;6000;87;259;287||85937380;Timbersaw;3;5;2;521;11600;113;396;394||85008179;Slardar;0;6;6;0;2200;0;247;290||94004717;Tiny;9;6;4;0;16200;2900;525;487||119631156;Ogre Magi;3;2;12;657;6300;0;354;331||168059543;Clockwerk;5;5;21;0;14200;0;374;312||99796146;Lich;2;3;17;3100;7100;497;353;399||194521913;Luna;9;1;14;0;18200;14100;788;662||122633513;Templar Assassin;15;4;12;0;17000;8600;796;728
2847970339;2016-12-15;32;3516840;3210464;4682;DafaeSports Indonesia Series ...;false##3516840;Terpacu Gaming;32;37;56||3210464;KISS GAMING;37;32;86##158571074;Phantom Assassin;13;7;10;296;26400;1500;591;715||348211866;Ogre Magi;2;9;14;0;5500;81;212;281||148039242;Magnus;5;7;12;0;9200;126;386;504||176037166;Huskar;9;6;9;2800;24700;3300;408;494||158564240;Omniknight;3;8;11;5900;5200;0;253;324||141809432;Invoker;8;6;19;0;18100;2600;492;580||373155942;Warlock;6;8;20;3700;11600;945;308;372||358583229;Shadow Demon;4;7;17;10;12400;1700;286;389||241825511;Axe;5;8;22;0;20800;622;446;571||151082988;Luna;14;3;8;0;25400;4300;708;846
