2460023273;1000;1000;50;1000;1000
2460575010;1050;1050;50;1050;1050
2459838799;1100;950;50;1100;950
2460260733;1050;1200;50;1043;1144
2462540843;1000;1100;50;998;1140
2462376179;950;800;50;951;818
2462844785;1000;950;50;992;964
2462735745;950;1200;50;941;1211
2462248121;900;1550;50;902;1407
2474257339;850;900;50;1000;1052
2487748107;900;850;50;1052;1000
2487981101;950;800;50;1104;948
2487855511;900;850;50;1035;1017
2497141517;850;1000;50;985;1088
2501342105;900;1150;50;1040;1031
2501727957;850;850;50;990;1000
2501579492;800;900;50;941;1049
2501259591;850;1200;50;996;1081
2503389591;800;1350;50;946;1354
2542271978;750;1300;50;918;1306
2542690642;800;1000;50;989;1001
2568189089;850;800;50;1039;879
