2849708056;2016-12-16;27;2208748;true;1;;3456993;SL i-League StarSeries S3;5077;5;Team DuoBao##30;10;82##89774212;Legion Commander;624;559;14;1;10;24800;750;4200||134517038;Bounty Hunter;395;317;1;2;23;7600;3500;41||102856993;Underlord;404;451;1;3;18;5200;2400;1400||136700299;Disruptor;297;331;2;2;20;8300;0;161||208796906;Gyrocopter;593;499;12;2;11;21100;0;2700||Storm Spirit;Juggernaut;Clockwerk;Omniknight;Jakiro##2849708056;1000;1000;50;1000;1000
2849788996;2016-12-16;31;2208748;true;0;;3456993;SL i-League StarSeries S3;5077;5;Team DuoBao##21;16;61##208796906;Morphling;745;686;12;1;5;18800;0;6800||134517038;Kunkka;250;323;1;2;15;4500;2500;102||102856993;Slardar;282;338;0;6;16;3200;0;59||136700299;Shadow Demon;273;290;3;5;13;5200;0;1800||89774212;Timbersaw;551;616;5;2;12;17100;0;530||Clockwerk;Lifestealer;Dark Seer;Skywrath Mage;Puck##2849788996;1050;950;50;1050;950
2872300334;2016-12-26;24;2208748;false;1;iG.Vitality;2640025;DOTA2 ACE Provisional;5006;1;Team DuoBao##10;16;20##136700299;Rubick;247;260;2;3;5;8800;0;134||89774212;Legion Commander;355;379;1;4;5;11200;886;15||102856993;Clockwerk;210;218;3;5;2;9500;0;0||128423973;Slardar;242;250;4;1;3;4500;0;0||208796906;Lifestealer;340;303;0;3;5;5400;677;667||Sven;Shadow Fiend;Batrider;Underlord;Silencer##2872300334;1100;1250;50;1000;1050
2872704848;2016-12-26;14;2208748;false;1;Invictus Gaming;5;SL i-League StarSeries S3;5077;2;Team DuoBao##2;11;6##89774212;Mirana;335;366;0;3;2;3600;0;578||128423973;Ogre Magi;183;174;1;1;1;1200;0;0||102856993;Axe;294;366;0;3;2;833;0;55||136700299;Disruptor;127;154;0;2;1;1800;0;116||208796906;Luna;351;255;1;2;0;1600;0;294||Undying;Ember Spirit;Dark Seer;Rubick;Juggernaut##2872704848;1050;1000;50;1000;1000
2872642341;2016-12-26;15;2208748;false;0;Invictus Gaming;5;SL i-League StarSeries S3;5077;2;Team DuoBao##5;18;10##89774212;Templar Assassin;413;499;0;2;4;3800;0;0||128423973;Bounty Hunter;184;172;2;2;2;1900;0;0||102856993;Clockwerk;177;178;0;7;1;2900;0;0||136700299;Lion;177;179;0;5;3;1800;0;0||208796906;Lifestealer;382;364;3;2;0;3900;33;125||Shadow Demon;Ember Spirit;Slardar;Mirana;Juggernaut##2872642341;1000;1050;50;950;1050
2872356307;2016-12-26;43;2208748;false;0;iG.Vitality;2640025;DOTA2 ACE Provisional;5006;1;Team DuoBao##30;34;73##102856993;Sand King;337;479;0;8;17;18500;0;30||128423973;Earth Spirit;269;308;6;8;15;17000;0;106||208796906;Queen of Pain;563;636;7;4;12;42200;0;1300||136700299;Dazzle;264;308;4;8;17;6400;10600;493||89774212;Legion Commander;459;529;13;6;12;38600;420;5700||Meepo;Juggernaut;Batrider;Kunkka;Silencer##2872356307;950;1300;50;953;1097
2885942991;2017-01-01;44;2208748;true;1;Vici Gaming;726228;SL i-League StarSeries S3;5077;2;Team DuoBao##39;22;94##128423973;Kunkka;272;385;2;2;24;6600;2000;0||102856993;Slardar;281;406;4;7;23;10400;0;48||89774212;Queen of Pain;678;629;13;2;12;32900;0;5700||136700299;Witch Doctor;252;391;4;7;23;9800;5500;0||208796906;Ursa;567;608;16;4;12;30600;0;3200||Disruptor;Outworld Devourer;Pudge;Underlord;Weaver##2885942991;900;1400;50;906;1120
2886032793;2017-01-01;47;2208748;true;0;Vici Gaming;726228;SL i-League StarSeries S3;5077;2;Team DuoBao##42;25;99##208796906;Sven;650;580;14;5;17;31000;0;8400||128423973;Kunkka;264;343;0;4;29;7800;3600;311||102856993;Sand King;376;457;3;5;14;10600;0;231||136700299;Witch Doctor;292;380;7;8;22;8300;6200;805||89774212;Storm Spirit;742;584;18;3;17;45100;1200;5200||Rubick;Dragon Knight;Riki;Dark Seer;Luna##2886032793;950;1350;50;967;1059
2891146128;2017-01-03;29;2208748;false;0;Team VGJ;3547682;SL i-League StarSeries S3;5077;5;Team DuoBao##10;29;24##208796906;Morphling;479;430;2;4;0;5900;0;1200||128423973;Slardar;206;269;0;3;8;3300;0;0||102856993;Sand King;256;283;0;7;7;5700;0;19||89774212;Queen of Pain;437;479;5;5;4;12900;0;180||136700299;Rubick;231;232;3;10;5;4900;400;51||Centaur Warrunner;Ember Spirit;Shadow Demon;Mirana;Luna##2891146128;1000;1100;50;1094;1103
2891245960;2017-01-03;33;2208748;false;1;Team VGJ;3547682;SL i-League StarSeries S3;5077;5;Team DuoBao##16;24;44##136700299;Rubick;240;256;3;8;8;4600;0;28||128423973;Earth Spirit;226;266;2;3;9;5600;0;138||102856993;Batrider;257;325;1;6;11;6400;0;34||208796906;Juggernaut;557;550;6;3;7;8900;0;2000||89774212;Tinker;443;332;4;4;9;21700;220;0||Underlord;Weaver;Vengeful Spirit;Storm Spirit;Slardar##2891245960;950;1150;50;1045;1152
